IPC Phase,Livelihood system,Season,FCS Bordeline,FCS Poor,FCS_Acceptable,FCS_max,HDDS Crisis (3-4),HDDS Emergency (<3),HDDS Minimal-Stressed (>4),HDDS_max,HHS Catastrophe,HHS Crisis,HHS Emergency,HHS Minimal,HHS Stressed,HHS_max,LivCop Crisis,LivCop Emergency,LivCop Minimal,LivCop Stressed,LivCop_max,Population Group,rCSI Crisis,rCSI Emergency-Catastrophe,rCSI Minimal,rCSI Stressed,rCSI_max,Year,Year=Year Parameter
Crisis,IDPs,Gu,59.5%,28.5%,12.0%,59.5%,49.2%,1.2%,49.6%,49.6%,0.0%,17.4%,0.4%,55.8%,26.4%,55.8%,21.5%,6.6%,36.0%,36.0%,36.0%,Bossaso IDPs,0.0%,0.0%,65.7%,34.3%,0.657024793,10/31/2023,True
Stressed,Urban,Gu,38.9%,17.7%,43.4%,43.4%,37.6%,0.4%,61.9%,61.9%,0.0%,9.7%,0.4%,76.5%,13.3%,76.5%,8.8%,7.1%,69.5%,14.6%,69.5%,Bossaso Urban,0.0%,0.0%,82.7%,17.3%,0.827433628,10/31/2023,True
Crisis,IDPs,Gu,28.4%,35.5%,36.1%,36.1%,35.0%,0.0%,65.0%,65.0%,7.1%,47.1%,14.2%,12.3%,19.4%,47.1%,52.1%,2.1%,2.8%,43.0%,52.1%,Dhusamareb IDPs,56.1%,0.0%,9.0%,34.8%,0.561290323,10/31/2023,True
Crisis,Urban,Gu,24.9%,18.1%,57.0%,57.0%,28.5%,0.0%,71.5%,71.5%,5.0%,27.6%,11.8%,26.7%,29.0%,29.0%,27.1%,1.4%,18.6%,52.9%,52.9%,Dhusamareb Urban,41.2%,0.0%,23.5%,35.3%,0.411764706,10/31/2023,True
Crisis,IDPs,Gu,14.0%,0.9%,85.1%,85.1%,1.8%,0.0%,98.2%,98.2%,0.0%,32.5%,0.0%,48.7%,18.9%,48.7%,27.6%,0.4%,47.8%,24.1%,47.8%,Garowe IDPs,0.0%,0.0%,67.5%,32.5%,0.675438596,10/31/2023,True
Stressed,Urban,Gu,3.5%,0.0%,96.5%,96.5%,0.0%,0.0%,100.0%,100.0%,0.0%,28.7%,0.0%,56.9%,14.4%,56.9%,3.0%,0.0%,55.0%,42.1%,55.0%,Garowe Urban,0.0%,0.0%,70.8%,29.2%,0.707920792,10/31/2023,True
Emergency,IDPs,Gu,18.0%,3.7%,78.3%,78.3%,29.8%,0.0%,70.2%,70.2%,0.4%,52.9%,0.4%,39.3%,7.0%,52.9%,25.7%,5.9%,48.2%,20.2%,48.2%,Kismayo IDPs,21.3%,2.9%,37.9%,37.9%,0.378676471,10/31/2023,True
Crisis,Urban,Gu,3.7%,0.8%,95.5%,95.5%,7.7%,0.0%,92.3%,92.3%,0.0%,37.0%,0.0%,59.3%,3.7%,59.3%,9.3%,22.8%,25.2%,42.7%,42.7%,Kismayo Urban,15.4%,0.0%,58.1%,26.4%,0.581300813,10/31/2023,True
Crisis,IDPs,Gu,19.1%,45.8%,35.0%,45.8%,14.8%,1.4%,83.8%,83.8%,0.4%,18.3%,0.4%,66.9%,14.0%,66.9%,9.1%,4.0%,74.3%,12.7%,74.3%,Hargeisa IDPs,12.2%,0.0%,67.3%,20.5%,0.672661871,10/31/2023,True
Stressed,Urban,Gu,15.2%,36.0%,48.8%,48.8%,7.7%,0.4%,91.9%,91.9%,0.4%,11.6%,0.4%,84.5%,3.2%,84.5%,2.5%,2.9%,92.5%,2.1%,92.5%,Hargeisa Urban,4.2%,0.0%,84.2%,11.6%,0.841549296,10/31/2023,True
